state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
wy,2021,15000,18000,18000,19000,21000,22000,23000,23000,22000,24000,24000,25000
wy,2022,23000,24000,26000,26000,23000,23000,24000,22000,22000,23000,21000,25000
wy,2023,22000,19000,20000,21000,19000,18000,16000,20000,19000,17000,19000,17000
wy,2024,16000,17000,16000,15000,16000,15000,15000,15000,15000,25000,17000,13000
wy,2025,16000,17000,15000,15000,14000,14000,15000,14000,,,,
il,2018,240000,243000,240000,261000,287000,306000,282000,305000,343000,300000,327000,305000
il,2019,316000,296000,311000,293000,260000,274000,254000,250000,252000,279000,253000,269000
il,2020,256000,261000,226000,151000,191000,211000,238000,232000,240000,264000,265000,275000
il,2021,275000,259000,311000,321000,340000,388000,384000,427000,448000,447000,419000,461000
il,2022,486000,474000,465000,479000,427000,441000,451000,406000,437000,351000,406000,441000
il,2023,445000,396000,378000,388000,405000,369000,347000,420000,397000,316000,398000,370000
il,2024,352000,386000,394000,312000,343000,319000,319000,298000,276000,277000,277000,287000
il,2025,283000,287000,297000,277000,298000,281000,279000,318000,,,,
