Award Level and Institution Type,State,Region,Major Field Family (2-digit CIP),Major Field Family (2-digit CIP) Title,2020 Enrollment,2021 Enrollment,2021 % Change from Previous Year,2022 Enrollment,2022 % Change from Previous Year,2023 Enrollment,2023 % Change from Previous Year,2024 Enrollment,2024 % Change from Previous Year,2025 Enrollment,2025 % Change from Previous Year
Undergraduate 4-year,Maine,Northeast,36,Leisure and Recreational Activities,0,0,,,,0,,0,,0,
Undergraduate 4-year,Maine,Northeast,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maine,Northeast,38,Philosophy and Religious Studies,137,129,-5.5,144,11.3,145,0.5,147,1.3,158,7.9
Undergraduate 4-year,Maine,Northeast,39,Theology and Religious Vocations,,,,,,,,,,,
Undergraduate 4-year,Maine,Northeast,40,Physical Sciences,527,479,-9.0,508,5.9,508,-0.0,520,2.5,565,8.5
Undergraduate 4-year,Maine,Northeast,41,Science Technologies/Technicians,0,0,,,,,,0,,0,
Undergraduate 4-year,Maine,Northeast,42,Psychology,1602,1620,1.1,1681,3.8,1586,-5.7,1678,5.8,1844,9.9
Undergraduate 4-year,Maine,Northeast,43,Security and Protective Services,706,591,-16.2,508,-14.1,584,14.9,578,-1.0,567,-1.9
Undergraduate 4-year,Maine,Northeast,44,Public Administration and Social Service Professions,430,425,-1.2,369,-13.2,306,-17.2,331,8.3,347,4.9
Undergraduate 4-year,Maine,Northeast,45,Social Sciences,2723,2486,-8.7,2515,1.2,2406,-4.3,2470,2.7,2680,8.5
Undergraduate 4-year,Maine,Northeast,46,Construction Trades,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maine,Northeast,47,Mechanic and Repair Technologies/Technicians,0,0,,0,,0,,,,,
Undergraduate 4-year,Maine,Northeast,48,Precision Production,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maine,Northeast,49,Transportation and Materials Moving,,,,,,,,,,,
Undergraduate 4-year,Maine,Northeast,50,Visual and Performing Arts,1100,1065,-3.2,1179,10.8,1134,-3.8,1141,0.6,1165,2.0
Undergraduate 4-year,Maine,Northeast,51,Health Professions and Related Clinical Sciences,4929,4650,-5.7,3891,-16.3,4042,3.9,3951,-2.3,4010,1.5
Undergraduate 4-year,Maine,Northeast,52,Business Management Marketing and Related Support,4323,3997,-7.5,3881,-2.9,3818,-1.6,4014,5.1,4354,8.5
Undergraduate 4-year,Maine,Northeast,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maine,Northeast,54,History,424,385,-9.2,381,-0.9,337,-11.5,374,10.8,353,-5.5
Undergraduate 4-year,Maryland,South,CIP Missing,CIP Missing,1353,5657,318.1,9143,61.6,8300,-9.2,9609,15.8,8597,-10.5
Undergraduate 4-year,Maryland,South,01,Agriculture Agriculture Operations and Related Sciences,,,,,,,,722,,802,11.0
Undergraduate 4-year,Maryland,South,03,Natural Resources and Conservation,1511,1420,-6.0,1381,-2.8,1284,-7.0,1254,-2.3,1322,5.4
Undergraduate 4-year,Maryland,South,04,Architecture and Related Services,661,650,-1.6,675,3.9,647,-4.2,687,6.2,727,5.8
Undergraduate 4-year,Maryland,South,05,Area Ethnic Cultural and Gender Studies,752,746,-0.8,739,-1.0,658,-10.9,530,-19.6,627,18.5
Undergraduate 4-year,Maryland,South,09,Communication Journalism and Related Programs,5492,5099,-7.2,4774,-6.4,4610,-3.4,4326,-6.2,4427,2.3
Undergraduate 4-year,Maryland,South,10,Communications Technologies/Technicians and Support Services,960,1075,12.0,805,-25.1,957,18.9,960,0.3,1140,18.7
Undergraduate 4-year,Maryland,South,11,Computer and Information Sciences and Support Services,23841,24345,2.1,24669,1.3,26912,9.1,30070,11.7,29236,-2.8
Undergraduate 4-year,Maryland,South,12,Personal and Culinary Services,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,13,Education,4484,4112,-8.3,3516,-14.5,3449,-1.9,3076,-10.8,3426,11.4
Undergraduate 4-year,Maryland,South,14,Engineering,7780,7394,-5.0,7135,-3.5,6839,-4.1,6889,0.7,7743,12.4
Undergraduate 4-year,Maryland,South,15,Engineering Technologies/Technicians,,0,,0,,0,,,,,
Undergraduate 4-year,Maryland,South,16,Foreign Languages Literatures and Linguistics,822,1090,32.6,985,-9.7,798,-19.0,785,-1.6,837,6.6
Undergraduate 4-year,Maryland,South,19,Family and Consumer Sciences/Human Sciences,800,589,-26.4,454,-22.9,433,-4.8,478,10.5,654,36.7
Undergraduate 4-year,Maryland,South,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,22,Legal Professions and Studies,595,697,17.2,,,,,652,,,
Undergraduate 4-year,Maryland,South,23,English Language and Literature/Letters,2291,2046,-10.7,1814,-11.4,1707,-5.9,1639,-3.9,1823,11.2
Undergraduate 4-year,Maryland,South,24,Liberal Arts and Sciences General Studies and Humanities,9784,10347,5.8,10859,4.9,10877,0.2,10691,-1.7,10892,1.9
Undergraduate 4-year,Maryland,South,25,Library Science,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,26,Biological and Biomedical Sciences,9493,8654,-8.8,8477,-2.1,8819,4.0,8327,-5.6,9211,10.6
Undergraduate 4-year,Maryland,South,27,Mathematics and Statistics,1618,1760,8.7,1578,-10.3,1298,-17.7,1288,-0.8,1390,8.0
Undergraduate 4-year,Maryland,South,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,29,Military Technologies,0,0,,0,,0,,0,,,
Undergraduate 4-year,Maryland,South,30,Multi/Interdisciplinary Studies,8794,8947,1.7,8884,-0.7,8293,-6.6,9708,17.1,9512,-2.0
Undergraduate 4-year,Maryland,South,31,Parks Recreation Leisure and Fitness Studies,3302,3076,-6.8,2898,-5.8,2746,-5.3,2652,-3.4,3096,16.8
Undergraduate 4-year,Maryland,South,32,Basic Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,36,Leisure and Recreational Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,38,Philosophy and Religious Studies,387,440,13.9,405,-8.0,432,6.6,420,-2.7,479,13.9
Undergraduate 4-year,Maryland,South,39,Theology and Religious Vocations,,,,,,,,,,,
Undergraduate 4-year,Maryland,South,40,Physical Sciences,1801,1768,-1.8,1609,-9.0,1619,0.7,1603,-1.0,1665,3.8
Undergraduate 4-year,Maryland,South,41,Science Technologies/Technicians,0,,,,,,,,,,
Undergraduate 4-year,Maryland,South,42,Psychology,9161,9785,6.8,9725,-0.6,9604,-1.2,9734,1.3,10715,10.1
Undergraduate 4-year,Maryland,South,43,Security and Protective Services,4023,3639,-9.5,2754,-24.3,2761,0.2,2924,5.9,4806,64.4
Undergraduate 4-year,Maryland,South,44,Public Administration and Social Service Professions,2420,2403,-0.7,2022,-15.8,1900,-6.1,1811,-4.6,2016,11.3
Undergraduate 4-year,Maryland,South,45,Social Sciences,9671,9522,-1.5,8859,-7.0,8164,-7.8,7604,-6.9,8354,9.9
Undergraduate 4-year,Maryland,South,46,Construction Trades,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,47,Mechanic and Repair Technologies/Technicians,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,48,Precision Production,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,49,Transportation and Materials Moving,,0,,0,,0,,,,,
Undergraduate 4-year,Maryland,South,50,Visual and Performing Arts,5225,4798,-8.2,4420,-7.9,4188,-5.3,4303,2.8,4884,13.5
Undergraduate 4-year,Maryland,South,51,Health Professions and Related Clinical Sciences,12218,12130,-0.7,11159,-8.0,10917,-2.2,10923,0.1,12406,13.6
Undergraduate 4-year,Maryland,South,52,Business Management Marketing and Related Support,25133,24522,-2.4,23223,-5.3,23677,2.0,24465,3.3,28280,15.6
Undergraduate 4-year,Maryland,South,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Maryland,South,54,History,1809,1792,-0.9,1674,-6.6,1577,-5.8,1492,-5.4,1615,8.3
Undergraduate 4-year,Massachusetts,Northeast,CIP Missing,CIP Missing,17173,16514,-3.8,13384,-19.0,13185,-1.5,14281,8.3,12885,-9.8
Undergraduate 4-year,Massachusetts,Northeast,01,Agriculture Agriculture Operations and Related Sciences,1113,988,-11.3,815,-17.5,875,7.3,901,2.9,923,2.5
Undergraduate 4-year,Massachusetts,Northeast,03,Natural Resources and Conservation,2453,2296,-6.4,2297,0.0,2532,10.3,2621,3.5,2469,-5.8
Undergraduate 4-year,Massachusetts,Northeast,04,Architecture and Related Services,1683,1586,-5.8,1606,1.2,1824,13.6,2069,13.4,2196,6.1
Undergraduate 4-year,Massachusetts,Northeast,05,Area Ethnic Cultural and Gender Studies,1129,1065,-5.7,1099,3.2,1078,-1.9,964,-10.6,931,-3.4
Undergraduate 4-year,Massachusetts,Northeast,09,Communication Journalism and Related Programs,9033,8245,-8.7,7392,-10.3,8024,8.5,7896,-1.6,5720,-27.6
Undergraduate 4-year,Massachusetts,Northeast,10,Communications Technologies/Technicians and Support Services,340,432,27.3,341,-21.0,312,-8.7,331,6.1,363,9.5
Undergraduate 4-year,Massachusetts,Northeast,11,Computer and Information Sciences and Support Services,15243,14951,-1.9,15553,4.0,17543,12.8,18595,6.0,17596,-5.4
Undergraduate 4-year,Massachusetts,Northeast,12,Personal and Culinary Services,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,13,Education,5306,5785,9.0,5753,-0.5,5840,1.5,5902,1.1,5589,-5.3
Undergraduate 4-year,Massachusetts,Northeast,14,Engineering,19522,18675,-4.3,18637,-0.2,18523,-0.6,18523,0.0,17649,-4.7
Undergraduate 4-year,Massachusetts,Northeast,15,Engineering Technologies/Technicians,1266,1161,-8.2,1139,-1.9,1205,5.8,1288,6.9,1293,0.4
Undergraduate 4-year,Massachusetts,Northeast,16,Foreign Languages Literatures and Linguistics,1831,2100,14.6,2029,-3.3,1766,-13.0,1743,-1.3,1513,-13.2
Undergraduate 4-year,Massachusetts,Northeast,19,Family and Consumer Sciences/Human Sciences,990,744,-24.8,758,1.8,556,-26.6,594,6.9,567,-4.6
Undergraduate 4-year,Massachusetts,Northeast,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,22,Legal Professions and Studies,718,818,13.9,776,-5.1,741,-4.6,752,1.6,902,19.9
Undergraduate 4-year,Massachusetts,Northeast,23,English Language and Literature/Letters,4783,4151,-13.2,3837,-7.6,4113,7.2,4014,-2.4,3656,-8.9
Undergraduate 4-year,Massachusetts,Northeast,24,Liberal Arts and Sciences General Studies and Humanities,21364,19911,-6.8,20197,1.4,19277,-4.6,18930,-1.8,18018,-4.8
Undergraduate 4-year,Massachusetts,Northeast,25,Library Science,,,,,,,,,,,
Undergraduate 4-year,Massachusetts,Northeast,26,Biological and Biomedical Sciences,17695,16358,-7.6,15628,-4.5,17799,13.9,18276,2.7,16361,-10.5
Undergraduate 4-year,Massachusetts,Northeast,27,Mathematics and Statistics,4459,4489,0.7,4530,0.9,4106,-9.4,3988,-2.9,3688,-7.5
Undergraduate 4-year,Massachusetts,Northeast,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,,,,,0,,,
Undergraduate 4-year,Massachusetts,Northeast,29,Military Technologies,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,30,Multi/Interdisciplinary Studies,5733,5498,-4.1,5479,-0.4,6207,13.3,6455,4.0,4564,-29.3
Undergraduate 4-year,Massachusetts,Northeast,31,Parks Recreation Leisure and Fitness Studies,3550,3768,6.2,3848,2.1,3892,1.1,3763,-3.3,3713,-1.3
Undergraduate 4-year,Massachusetts,Northeast,32,Basic Skills,,,,,,,,,,,
Undergraduate 4-year,Massachusetts,Northeast,33,Citizenship Activities,0,,,,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,36,Leisure and Recreational Activities,,,,,,,,,,0,
Undergraduate 4-year,Massachusetts,Northeast,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,38,Philosophy and Religious Studies,1130,1163,3.0,1055,-9.3,1136,7.7,1176,3.5,1019,-13.4
Undergraduate 4-year,Massachusetts,Northeast,39,Theology and Religious Vocations,114,120,5.2,,,113,,103,-8.3,,
Undergraduate 4-year,Massachusetts,Northeast,40,Physical Sciences,4020,3615,-10.1,3675,1.7,3807,3.6,3760,-1.2,3751,-0.2
Undergraduate 4-year,Massachusetts,Northeast,41,Science Technologies/Technicians,,,,0,,,,,,,
Undergraduate 4-year,Massachusetts,Northeast,42,Psychology,14329,14470,1.0,14199,-1.9,14566,2.6,14211,-2.4,13427,-5.5
Undergraduate 4-year,Massachusetts,Northeast,43,Security and Protective Services,6777,6509,-3.9,6147,-5.6,5859,-4.7,5535,-5.5,5495,-0.7
Undergraduate 4-year,Massachusetts,Northeast,44,Public Administration and Social Service Professions,2542,2223,-12.6,1967,-11.5,1812,-7.9,1684,-7.1,1571,-6.7
Undergraduate 4-year,Massachusetts,Northeast,45,Social Sciences,19776,18333,-7.3,16922,-7.7,17694,4.6,17368,-1.8,16189,-6.8
Undergraduate 4-year,Massachusetts,Northeast,46,Construction Trades,131,,,,,,,,,0,
Undergraduate 4-year,Massachusetts,Northeast,47,Mechanic and Repair Technologies/Technicians,,,,0,,0,,0,,0,
Undergraduate 4-year,Massachusetts,Northeast,48,Precision Production,0,0,,0,,,,,,,
Undergraduate 4-year,Massachusetts,Northeast,49,Transportation and Materials Moving,,,,,,,,,,,
Undergraduate 4-year,Massachusetts,Northeast,50,Visual and Performing Arts,15117,13972,-7.6,15347,9.8,14747,-3.9,14937,1.3,15546,4.1
Undergraduate 4-year,Massachusetts,Northeast,51,Health Professions and Related Clinical Sciences,22379,22171,-0.9,20707,-6.6,19943,-3.7,20311,1.8,18929,-6.8
Undergraduate 4-year,Massachusetts,Northeast,52,Business Management Marketing and Related Support,40375,37144,-8.0,35272,-5.0,38386,8.8,38465,0.2,36881,-4.1
Undergraduate 4-year,Massachusetts,Northeast,53,High School/Secondary Diplomas and Certificates,,,,,,,,,,,
Undergraduate 4-year,Massachusetts,Northeast,54,History,3137,2725,-13.1,2681,-1.6,2757,2.8,2586,-6.2,2409,-6.8
Undergraduate 4-year,Michigan,Midwest,CIP Missing,CIP Missing,5081,3673,-27.7,3564,-2.9,4222,18.4,4746,12.4,5655,19.2
Undergraduate 4-year,Michigan,Midwest,01,Agriculture Agriculture Operations and Related Sciences,1720,1628,-5.3,1841,13.1,1829,-0.7,1780,-2.7,1826,2.6
Undergraduate 4-year,Michigan,Midwest,03,Natural Resources and Conservation,2641,2589,-2.0,2674,3.3,2697,0.9,2709,0.4,2533,-6.5
Undergraduate 4-year,Michigan,Midwest,04,Architecture and Related Services,676,522,-22.8,581,11.4,588,1.2,783,33.2,817,4.4
Undergraduate 4-year,Michigan,Midwest,05,Area Ethnic Cultural and Gender Studies,620,553,-10.8,539,-2.7,498,-7.5,470,-5.7,414,-12.0
Undergraduate 4-year,Michigan,Midwest,09,Communication Journalism and Related Programs,9772,8464,-13.4,7288,-13.9,6984,-4.2,7287,4.3,7561,3.8
Undergraduate 4-year,Michigan,Midwest,10,Communications Technologies/Technicians and Support Services,1199,966,-19.4,966,0.0,871,-9.9,856,-1.8,858,0.3
Undergraduate 4-year,Michigan,Midwest,11,Computer and Information Sciences and Support Services,11896,11656,-2.0,12258,5.2,13523,10.3,13937,3.1,13166,-5.5
Undergraduate 4-year,Michigan,Midwest,12,Personal and Culinary Services,134,102,-24.0,243,138.7,275,13.3,276,0.3,280,1.7
Undergraduate 4-year,Michigan,Midwest,13,Education,10832,11077,2.3,11357,2.5,10827,-4.7,10918,0.8,11762,7.7
Undergraduate 4-year,Michigan,Midwest,14,Engineering,24007,22928,-4.5,22263,-2.9,21927,-1.5,21863,-0.3,22538,3.1
Undergraduate 4-year,Michigan,Midwest,15,Engineering Technologies/Technicians,3642,3360,-7.7,3400,1.2,3363,-1.1,3392,0.9,3489,2.9
Undergraduate 4-year,Michigan,Midwest,16,Foreign Languages Literatures and Linguistics,1875,1958,4.4,1997,2.0,1483,-25.7,1460,-1.6,1447,-0.9
Undergraduate 4-year,Michigan,Midwest,19,Family and Consumer Sciences/Human Sciences,2021,1820,-9.9,1673,-8.1,1506,-10.0,1379,-8.4,1434,4.0
Undergraduate 4-year,Michigan,Midwest,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,22,Legal Professions and Studies,771,840,9.0,805,-4.2,835,3.7,984,17.8,1203,22.3
Undergraduate 4-year,Michigan,Midwest,23,English Language and Literature/Letters,2936,2438,-17.0,2285,-6.3,2316,1.3,2386,3.0,2205,-7.6
Undergraduate 4-year,Michigan,Midwest,24,Liberal Arts and Sciences General Studies and Humanities,21343,21091,-1.2,20348,-3.5,19616,-3.6,19187,-2.2,18691,-2.6
Undergraduate 4-year,Michigan,Midwest,25,Library Science,,,,,,,,,,,
Undergraduate 4-year,Michigan,Midwest,26,Biological and Biomedical Sciences,15938,15514,-2.7,14881,-4.1,15245,2.5,15135,-0.7,15483,2.3
Undergraduate 4-year,Michigan,Midwest,27,Mathematics and Statistics,2593,2399,-7.5,2076,-13.5,1915,-7.7,1817,-5.1,1745,-4.0
Undergraduate 4-year,Michigan,Midwest,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,29,Military Technologies,,,,,,,,,,,
Undergraduate 4-year,Michigan,Midwest,30,Multi/Interdisciplinary Studies,4133,4513,9.2,4916,8.9,4799,-2.4,4804,0.1,4975,3.6
Undergraduate 4-year,Michigan,Midwest,31,Parks Recreation Leisure and Fitness Studies,7840,7579,-3.3,7660,1.1,7701,0.5,7911,2.7,7989,1.0
Undergraduate 4-year,Michigan,Midwest,32,Basic Skills,,,,,,103,,,,,
Undergraduate 4-year,Michigan,Midwest,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,36,Leisure and Recreational Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,37,Personal Awareness and Self-Improvement,,,,,,0,,0,,0,
Undergraduate 4-year,Michigan,Midwest,38,Philosophy and Religious Studies,661,660,-0.1,583,-11.7,545,-6.6,543,-0.3,638,17.4
Undergraduate 4-year,Michigan,Midwest,39,Theology and Religious Vocations,467,408,-12.7,366,-10.2,357,-2.5,232,-35.1,378,63.2
Undergraduate 4-year,Michigan,Midwest,40,Physical Sciences,3435,3062,-10.9,2958,-3.4,2737,-7.5,2698,-1.5,2667,-1.1
Undergraduate 4-year,Michigan,Midwest,41,Science Technologies/Technicians,,,,,,,,,,119,
Undergraduate 4-year,Michigan,Midwest,42,Psychology,10580,11062,4.6,11145,0.7,10988,-1.4,11046,0.5,10632,-3.8
Undergraduate 4-year,Michigan,Midwest,43,Security and Protective Services,5150,4789,-7.0,4332,-9.5,4068,-6.1,3997,-1.7,4046,1.2
Undergraduate 4-year,Michigan,Midwest,44,Public Administration and Social Service Professions,4637,4410,-4.9,3972,-9.9,3689,-7.1,3788,2.7,3897,2.9
Undergraduate 4-year,Michigan,Midwest,45,Social Sciences,9864,9004,-8.7,8539,-5.2,8344,-2.3,8343,-0.0,8407,0.8
Undergraduate 4-year,Michigan,Midwest,46,Construction Trades,,,,,,,,,,,
Undergraduate 4-year,Michigan,Midwest,47,Mechanic and Repair Technologies/Technicians,353,301,-14.8,230,-23.4,206,-10.5,179,-13.0,209,16.8
Undergraduate 4-year,Michigan,Midwest,48,Precision Production,210,,,218,,,,,,,
Undergraduate 4-year,Michigan,Midwest,49,Transportation and Materials Moving,1250,1257,0.5,1301,3.5,1190,-8.5,1192,0.2,1241,4.1
Undergraduate 4-year,Michigan,Midwest,50,Visual and Performing Arts,10335,10033,-2.9,9698,-3.3,10023,3.3,10272,2.5,10267,-0.1
Undergraduate 4-year,Michigan,Midwest,51,Health Professions and Related Clinical Sciences,27463,25176,-8.3,24948,-0.9,22347,-10.4,22361,0.1,23378,4.5
Undergraduate 4-year,Michigan,Midwest,52,Business Management Marketing and Related Support,41067,38445,-6.4,37921,-1.4,36954,-2.6,36644,-0.8,37880,3.4
Undergraduate 4-year,Michigan,Midwest,53,High School/Secondary Diplomas and Certificates,,206,,150,-27.3,104,-31.0,,,,
Undergraduate 4-year,Michigan,Midwest,54,History,1500,1387,-7.5,1408,1.5,1378,-2.1,1330,-3.5,1150,-13.5
Undergraduate 4-year,Minnesota,Midwest,CIP Missing,CIP Missing,6514,7416,13.9,7226,-2.6,8880,22.9,9025,1.6,9150,1.4
Undergraduate 4-year,Minnesota,Midwest,01,Agriculture Agriculture Operations and Related Sciences,1174,1082,-7.8,1060,-2.1,1112,4.9,1020,-8.2,1054,3.2
Undergraduate 4-year,Minnesota,Midwest,03,Natural Resources and Conservation,1803,1705,-5.4,1766,3.6,1652,-6.5,1638,-0.8,1497,-8.6
Undergraduate 4-year,Minnesota,Midwest,04,Architecture and Related Services,,,,,,,,,,,
Undergraduate 4-year,Minnesota,Midwest,05,Area Ethnic Cultural and Gender Studies,451,479,6.4,471,-1.8,360,-23.5,373,3.6,341,-8.6
Undergraduate 4-year,Minnesota,Midwest,09,Communication Journalism and Related Programs,3633,3288,-9.5,3189,-3.0,3123,-2.1,2941,-5.8,2876,-2.2
Undergraduate 4-year,Minnesota,Midwest,10,Communications Technologies/Technicians and Support Services,449,280,-37.5,293,4.5,282,-3.7,314,11.2,335,6.8
Undergraduate 4-year,Minnesota,Midwest,11,Computer and Information Sciences and Support Services,5407,5312,-1.7,5730,7.9,6183,7.9,6530,5.6,6591,0.9
Undergraduate 4-year,Minnesota,Midwest,12,Personal and Culinary Services,,,,,,,,116,,,
Undergraduate 4-year,Minnesota,Midwest,13,Education,9897,9384,-5.2,8949,-4.6,8600,-3.9,7923,-7.9,8375,5.7
Undergraduate 4-year,Minnesota,Midwest,14,Engineering,7633,6783,-11.1,6749,-0.5,6816,1.0,6884,1.0,7368,7.0
Undergraduate 4-year,Minnesota,Midwest,15,Engineering Technologies/Technicians,528,492,-6.8,471,-4.3,453,-3.7,487,7.4,461,-5.3
Undergraduate 4-year,Minnesota,Midwest,16,Foreign Languages Literatures and Linguistics,1257,1169,-7.0,1062,-9.2,978,-7.9,885,-9.5,868,-2.0
Undergraduate 4-year,Minnesota,Midwest,19,Family and Consumer Sciences/Human Sciences,628,535,-14.8,468,-12.6,441,-5.7,430,-2.4,391,-9.1
Undergraduate 4-year,Minnesota,Midwest,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,22,Legal Professions and Studies,263,282,7.2,244,-13.7,153,-37.3,175,14.6,180,2.6
Undergraduate 4-year,Minnesota,Midwest,23,English Language and Literature/Letters,2191,1859,-15.2,1767,-5.0,1698,-3.9,1565,-7.9,1500,-4.1
Undergraduate 4-year,Minnesota,Midwest,24,Liberal Arts and Sciences General Studies and Humanities,13152,11481,-12.7,10278,-10.5,10298,0.2,10827,5.1,11021,1.8
Undergraduate 4-year,Minnesota,Midwest,25,Library Science,0,0,,0,,0,,,,,
Undergraduate 4-year,Minnesota,Midwest,26,Biological and Biomedical Sciences,9320,8434,-9.5,8430,-0.0,8544,1.3,8504,-0.5,8893,4.6
Undergraduate 4-year,Minnesota,Midwest,27,Mathematics and Statistics,1882,1743,-7.4,1504,-13.7,1358,-9.7,1302,-4.1,1413,8.5
Undergraduate 4-year,Minnesota,Midwest,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,29,Military Technologies,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,30,Multi/Interdisciplinary Studies,9416,10937,16.1,10285,-6.0,9316,-9.4,9765,4.8,10783,10.4
Undergraduate 4-year,Minnesota,Midwest,31,Parks Recreation Leisure and Fitness Studies,3263,3147,-3.5,3064,-2.6,3265,6.6,3305,1.2,3391,2.6
Undergraduate 4-year,Minnesota,Midwest,32,Basic Skills,,,,,,,,,,,
Undergraduate 4-year,Minnesota,Midwest,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,36,Leisure and Recreational Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,38,Philosophy and Religious Studies,689,567,-17.8,537,-5.3,520,-3.1,518,-0.3,569,9.7
Undergraduate 4-year,Minnesota,Midwest,39,Theology and Religious Vocations,875,1442,64.8,1141,-20.8,845,-25.9,797,-5.7,788,-1.2
Undergraduate 4-year,Minnesota,Midwest,40,Physical Sciences,2038,1841,-9.7,1652,-10.3,1630,-1.4,1627,-0.2,1661,2.1
Undergraduate 4-year,Minnesota,Midwest,41,Science Technologies/Technicians,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,42,Psychology,6743,6476,-4.0,6611,2.1,6666,0.8,6574,-1.4,6684,1.7
Undergraduate 4-year,Minnesota,Midwest,43,Security and Protective Services,1722,1537,-10.8,1381,-10.2,1378,-0.2,1316,-4.6,1329,1.0
Undergraduate 4-year,Minnesota,Midwest,44,Public Administration and Social Service Professions,2313,2285,-1.2,2131,-6.7,2036,-4.5,2046,0.5,2093,2.3
Undergraduate 4-year,Minnesota,Midwest,45,Social Sciences,6346,5799,-8.6,5307,-8.5,5123,-3.5,4807,-6.2,5037,4.8
Undergraduate 4-year,Minnesota,Midwest,46,Construction Trades,,,,,,,,,,,
Undergraduate 4-year,Minnesota,Midwest,47,Mechanic and Repair Technologies/Technicians,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Minnesota,Midwest,48,Precision Production,,,,,,,,,,,
Undergraduate 4-year,Minnesota,Midwest,49,Transportation and Materials Moving,,,,,,,,,,,
Undergraduate 4-year,Minnesota,Midwest,50,Visual and Performing Arts,5030,4441,-11.7,4456,0.3,4519,1.4,4494,-0.6,4501,0.2
Undergraduate 4-year,Minnesota,Midwest,51,Health Professions and Related Clinical Sciences,12613,12982,2.9,11975,-7.8,12088,0.9,12658,4.7,13817,9.2
Undergraduate 4-year,Minnesota,Midwest,52,Business Management Marketing and Related Support,19218,18341,-4.6,17932,-2.2,18225,1.6,17991,-1.3,18468,2.7
Undergraduate 4-year,Minnesota,Midwest,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
