"","OPE_ID","School_Name","School_Type","State","Total_Borrowers_Evaluated","Nonpayment_Rate"
"148","002573","Dartmouth College","PRIVATE NONPROFIT","NH",2800,0.04
"149","024824","Ponce Health Sciences University","PROPRIETARY","PR",3000,0.04
"150","003401","Brown University","PRIVATE NONPROFIT","RI",3500,0.04
"151","004952","University of Texas Medical Branch at Galveston","PUBLIC","TX",3500,0.04
"152","003197","Lewis & Clark College","PRIVATE NONPROFIT","OR",3700,0.04
"153","002233","Worcester Polytechnic Institute","PRIVATE NONPROFIT","MA",3900,0.04
"154","002014","Louisiana State University Health Sciences Center","PUBLIC","LA",3900,0.04
"155","003979","Teachers College, Columbia University","PRIVATE NONPROFIT","NY",4300,0.04
"156","004951","University of Texas Health Science Center at Houston","PUBLIC","TX",4400,0.04
"157","001348","Colorado School of Mines","PUBLIC","CO",4700,0.04
"158","002803","Rensselaer Polytechnic Institute","PRIVATE NONPROFIT","NY",4800,0.04
"159","003705","College of William & Mary","PUBLIC","VA",5700,0.04
"160","003212","Pacific University","PRIVATE NONPROFIT","OR",6100,0.04
"161","002978","Wake Forest University","PRIVATE NONPROFIT","NC",6300,0.04
"162","002520","Washington University in St. Louis","PRIVATE NONPROFIT","MO",6700,0.04
"163","003388","Villanova University","PRIVATE NONPROFIT","PA",7300,0.04
"164","002542","Creighton University","PRIVATE NONPROFIT","NE",9800,0.04
"165","002128","Boston College","PRIVATE NONPROFIT","MA",9900,0.04
"166","001569","Georgia Institute of Technology","PUBLIC","GA",10500,0.04
"167","002711","Cornell University","PRIVATE NONPROFIT","NY",10800,0.04
"168","003745","University of Virginia","PUBLIC","VA",12400,0.04
"169","010149","Pepperdine University","PRIVATE NONPROFIT","CA",14500,0.04
"170","002077","Johns Hopkins University","PRIVATE NONPROFIT","MD",16700,0.04
"171","002974","University of North Carolina - Chapel Hill","PUBLIC","NC",17500,0.04
"172","002707","Columbia University in the City of New York","PRIVATE NONPROFIT","NY",19100,0.04
"173","003895","University of Wisconsin - Madison","PUBLIC","WI",21100,0.04
"174","002130","Boston University","PRIVATE NONPROFIT","MA",22100,0.04
"175","001444","George Washington University","PRIVATE NONPROFIT","DC",23300,0.04
"176","002325","University of Michigan","PUBLIC","MI",24800,0.04
"177","001315","University of California, Los Angeles","PUBLIC","CA",27500,0.04
"178","001328","University of Southern California","PRIVATE NONPROFIT","CA",38600,0.04
"179","011780","Brunel University London","FOREIGN","FC",200,0.05
"180","030982","Yo San University of Traditional Chinese Medicine","PRIVATE NONPROFIT","CA",200,0.05
"181","009808","University of Strathclyde, Glasgow","FOREIGN","FC",200,0.05
"182","001354","Iliff School of Theology","PRIVATE NONPROFIT","CO",200,0.05
"183","004054","Hebrew Union College - Jewish Institute of Religion","PRIVATE NONPROFIT","NY",200,0.05
"184","031564","AOMA Graduate School of Integrative Medicine","PROPRIETARY","TX",200,0.05
"185","009086","University of London - Royal Holloway","FOREIGN","FC",200,0.05
"186","006699","University of Sussex","FOREIGN","FC",200,0.05
"187","002248","Cranbrook Academy of Art","PRIVATE NONPROFIT","MI",200,0.05
"188","007178","Western Seminary","PRIVATE NONPROFIT","OR",300,0.05
"189","009368","University of Aberdeen","FOREIGN","FC",300,0.05
"190","033554","Richmont Graduate University","PRIVATE NONPROFIT","TN",300,0.05
"191","008377","Universiteit van Amsterdam","FOREIGN","FC",400,0.05
"192","038724","Divine Mercy University","PRIVATE NONPROFIT","VA",400,0.05
"193","001170","Claremont McKenna College","PRIVATE NONPROFIT","CA",400,0.05
"194","002627","Princeton University","PRIVATE NONPROFIT","NJ",400,0.05
"195","003697","Vermont College of Fine Arts","PRIVATE NONPROFIT","VT",500,0.05
"196","001172","Pitzer College","PRIVATE NONPROFIT","CA",500,0.05
"197","002115","Amherst College","PRIVATE NONPROFIT","MA",500,0.05
"198","002229","Williams College","PRIVATE NONPROFIT","MA",600,0.05
"199","002038","Bowdoin College","PRIVATE NONPROFIT","ME",600,0.05
"200","006639","Bellin College","PRIVATE NONPROFIT","WI",700,0.05
"201","031773","San Juan Bautista School of  Medicine","PRIVATE NONPROFIT","PR",700,0.05
"202","037803","Saba University School of Medicine","FOREIGN","FC",700,0.05
"203","009085","King's College London","FOREIGN","FC",800,0.05
"204","001347","Colorado College","PRIVATE NONPROFIT","CO",800,0.05
"205","001868","Grinnell College","PRIVATE NONPROFIT","IA",800,0.05
"206","008461","University of Saint Andrews","FOREIGN","FC",800,0.05
"207","031733","Atlanta Law Center","PRIVATE NONPROFIT","GA",900,0.05
"208","003217","Reed College","PRIVATE NONPROFIT","OR",900,0.05
"209","031070","Sonoran University of Health Sciences","PRIVATE NONPROFIT","AZ",1000,0.05
"210","002701","Colgate University","PRIVATE NONPROFIT","NY",1000,0.05
"211","020907","Cleveland University-Kansas City","PRIVATE NONPROFIT","KS",1100,0.05
"212","003284","Lafayette College","PRIVATE NONPROFIT","PA",1200,0.05
"213","002504","University of Health Sciences and Pharmacy in St. Louis","PRIVATE NONPROFIT","MO",1300,0.05
"214","003237","Bryn Mawr College","PRIVATE NONPROFIT","PA",1300,0.05
"215","002708","Barnard College","PRIVATE NONPROFIT","NY",1300,0.05
"216","001249","Occidental College","PRIVATE NONPROFIT","CA",1400,0.05
"217","020961","Fielding Graduate University","PRIVATE NONPROFIT","CA",1500,0.05
"218","003253","Dickinson College","PRIVATE NONPROFIT","PA",1500,0.05
"219","002885","Albany College of Pharmacy and Health Sciences","PRIVATE NONPROFIT","NY",1500,0.05
"220","001830","Rose-Hulman Institute of Technology","PRIVATE NONPROFIT","IN",1600,0.05
"221","006389","Goldfarb School of Nursing at Barnes-Jewish College","PRIVATE NONPROFIT","MO",1600,0.05
"222","002341","College of Saint Benedict","PRIVATE NONPROFIT","MN",1700,0.05
"223","002262","Kettering University","PRIVATE NONPROFIT","MI",1700,0.05
"224","002192","Mount Holyoke College","PRIVATE NONPROFIT","MA",1800,0.05
"225","012328","Northwestern Health Sciences University","PRIVATE NONPROFIT","MN",1900,0.05
"226","012154","California Institute of Integral Studies","PRIVATE NONPROFIT","CA",2100,0.05
"227","001781","Wheaton College","PRIVATE NONPROFIT","IL",2200,0.05
"228","024600","University of Puerto Rico - Medical Science Campus","PUBLIC","PR",2500,0.05
"229","002273","Hope College","PRIVATE NONPROFIT","MI",2600,0.05
"230","002133","Brandeis University","PRIVATE NONPROFIT","MA",2900,0.05
"231","042401","American University of Antigua College of Medicine","FOREIGN","FC",3100,0.05
"232","003289","Lehigh University","PRIVATE NONPROFIT","PA",3600,0.05
"233","030070","Frontier Nursing University","PRIVATE NONPROFIT","KY",3900,0.05
"234","002639","Stevens Institute of Technology","PRIVATE NONPROFIT","NJ",4100,0.05
"235","001109","University of Arkansas for Medical Sciences","PUBLIC","AR",4200,0.05
"236","001691","Illinois Institute of Technology","PRIVATE NONPROFIT","IL",4300,0.05
"237","002343","College of St. Scholastica","PRIVATE NONPROFIT","MN",4700,0.05
"238","001326","Santa Clara University","PRIVATE NONPROFIT","CA",4800,0.05
"239","003010","Antioch University","PRIVATE NONPROFIT","OH",4900,0.05
"240","011117","Alliant International University","PROPRIETARY","CA",6500,0.05
"241","003778","Gonzaga University","PRIVATE NONPROFIT","WA",6600,0.05
"242","002894","University of Rochester","PRIVATE NONPROFIT","NY",6700,0.05
"243","010674","Texas Tech University Health Sciences Center","PUBLIC","TX",7900,0.05
"244","001329","University of the Pacific","PRIVATE NONPROFIT","CA",8900,0.05
"245","003919","University of Wisconsin - LaCrosse","PUBLIC","WI",9200,0.05
"246","003670","Brigham Young University","PRIVATE NONPROFIT","UT",9500,0.05
"247","011649","Loyola Marymount University","PRIVATE NONPROFIT","CA",9800,0.05
"248","003502","Lincoln Memorial University","PRIVATE NONPROFIT","TN",9900,0.05
"249","003863","Marquette University","PRIVATE NONPROFIT","WI",11700,0.05
"250","001143","California Polytechnic State University","PUBLIC","CA",12300,0.05
"251","001371","University of Denver","PRIVATE NONPROFIT","CO",14700,0.05
"252","002199","Northeastern University","PRIVATE NONPROFIT","MA",18500,0.05
"253","003675","University of Utah","PUBLIC","UT",19900,0.05
"254","001314","University of California, Irvine","PUBLIC","CA",22700,0.05
"255","001535","University of Florida","PUBLIC","FL",30000,0.05
"256","003969","University of Minnesota - Twin Cities","PUBLIC","MN",35300,0.05
"257","042571","Universiteit Maastricht","FOREIGN","FC",200,0.06
"258","010157","Cardiff University","FOREIGN","FC",200,0.06
"259","034184","Edinburgh Napier University","FOREIGN","FC",200,0.06
"260","001288","Claremont School of Theology","PRIVATE NONPROFIT","CA",200,0.06
"261","042395","Virginia University of Integrative Medicine","PRIVATE NONPROFIT","VA",200,0.06
"262","036175","Phoenix Institute of Herbal Medicine & Acupuncture","PROPRIETARY","AZ",200,0.06
"263","025973","South Baylo University","PRIVATE NONPROFIT","CA",200,0.06
"264","004707","Covenant Theological Seminary","PRIVATE NONPROFIT","MO",200,0.06
"265","009442","University of Exeter","FOREIGN","FC",200,0.06
"266","033333","Medical University of Lublin","FOREIGN","FC",200,0.06
"267","002626","Princeton Theological Seminary","PRIVATE NONPROFIT","NJ",200,0.06
"268","030980","St. John's College","PRIVATE NONPROFIT","IL",200,0.06
"269","009084","University of London, Birkbeck","FOREIGN","FC",300,0.06
"270","008687","University of Essex","FOREIGN","FC",300,0.06
"271","022676","Sofia University","PROPRIETARY","CA",300,0.06
"272","025000","San Joaquin College of Law","PRIVATE NONPROFIT","CA",300,0.06
"273","040764","Gnomon","PROPRIETARY","CA",300,0.06
"274","021951","University of Westminster","FOREIGN","FC",300,0.06
"275","006461","Saint Elizabeth Medical Center","PRIVATE NONPROFIT","NY",400,0.06
"276","023580","Thomas Aquinas College","PRIVATE NONPROFIT","CA",400,0.06
"277","025554","University of Texas M.D. Anderson Cancer Center","PUBLIC","TX",400,0.06
"278","003274","Haverford College","PRIVATE NONPROFIT","PA",400,0.06
"279","003562","Dallas Theological Seminary","PRIVATE NONPROFIT","TX",400,0.06
"280","001352","Denver Seminary","PRIVATE NONPROFIT","CO",400,0.06
"281","023518","Universidad Iberoamericana (UNIBE)","FOREIGN","FC",400,0.06
"282","006392","Research Medical Center","PROPRIETARY","MO",500,0.06
"283","042501","Santa Barbara and Ventura Colleges of Law (The)","PRIVATE NONPROFIT","CA",500,0.06
"284","002361","Martin Luther College","PRIVATE NONPROFIT","MN",600,0.06
"285","002036","Bates College","PRIVATE NONPROFIT","ME",700,0.06
"286","008369","University of British Columbia","FOREIGN","FC",700,0.06
"287","002918","Davidson College","PRIVATE NONPROFIT","NC",700,0.06
"288","010854","Thomas Jefferson School of Law","PRIVATE NONPROFIT","CA",800,0.06
"289","006399","Bryan College of Health Sciences","PRIVATE NONPROFIT","NE",900,0.06
"290","037243","DigiPen Institute of Technology","PROPRIETARY","WA",1300,0.06
"291","001379","Connecticut College","PRIVATE NONPROFIT","CT",1300,0.06
"292","002121","Babson College","PRIVATE NONPROFIT","MA",1600,0.06
"293","021175","Naropa University","PRIVATE NONPROFIT","CO",1600,0.06
"294","001883","Northwestern College","PRIVATE NONPROFIT","IA",1700,0.06
"295","003434","Furman University","PRIVATE NONPROFIT","SC",1700,0.06
"296","004071","Walsh College of Accountancy & Business Administration","PRIVATE NONPROFIT","MI",1800,0.06
"297","006404","Nebraska Methodist College of Nursing & Allied Health","PRIVATE NONPROFIT","NE",1800,0.06
"298","001836","Saint Mary's College","PRIVATE NONPROFIT","IN",2000,0.06
"299","003458","Augustana University","PRIVATE NONPROFIT","SD",2000,0.06
"300","002851","SUNY College of Environment Science & Forestry","PUBLIC","NY",2100,0.06
"301","002353","Gustavus Adolphus College","PRIVATE NONPROFIT","MN",2200,0.06
"302","002382","Saint Olaf College","PRIVATE NONPROFIT","MN",2200,0.06
"303","002141","College of the Holy Cross","PRIVATE NONPROFIT","MA",2300,0.06
"304","002587","Saint Anselm College","PRIVATE NONPROFIT","NH",2300,0.06
"305","002241","Calvin University","PRIVATE NONPROFIT","MI",2400,0.06
"306","003868","Milwaukee School of Engineering","PRIVATE NONPROFIT","WI",3000,0.06
"307","004703","Logan University","PRIVATE NONPROFIT","MO",3100,0.06
"308","003911","Viterbo University","PRIVATE NONPROFIT","WI",3200,0.06
"309","002124","Bentley University","PRIVATE NONPROFIT","MA",3400,0.06
"310","003244","Chatham University","PRIVATE NONPROFIT","PA",3500,0.06
"311","003298","Messiah University","PRIVATE NONPROFIT","PA",3600,0.06
"312","003025","Cedarville University","PRIVATE NONPROFIT","OH",4000,0.06
"313","003224","University of Portland","PRIVATE NONPROFIT","OR",4000,0.06
"314","002699","Clarkson University","PRIVATE NONPROFIT","NY",4000,0.06
"315","001243","Mount Saint Mary's University","PRIVATE NONPROFIT","CA",5000,0.06
"316","001788","Butler University","PRIVATE NONPROFIT","IN",5000,0.06
"317","002292","Michigan Technological University","PUBLIC","MI",5300,0.06
"318","002821","St. John Fisher University","PRIVATE NONPROFIT","NY",5400,0.06
"319","002903","Yeshiva University","PRIVATE NONPROFIT","NY",5700,0.06
"320","001036","Samford University","PRIVATE NONPROFIT","AL",5700,0.06
"321","002927","Elon University","PRIVATE NONPROFIT","NC",5800,0.06
"322","002642","College of New Jersey (The)","PUBLIC","NJ",6300,0.06
"323","003790","Seattle University","PRIVATE NONPROFIT","WA",7700,0.06
"324","002345","University of Saint Thomas","PRIVATE NONPROFIT","MN",8400,0.06
"325","002208","Simmons University","PRIVATE NONPROFIT","MA",9000,0.06
"326","003917","University of Wisconsin - Eau Claire","PUBLIC","WI",9100,0.06
"327","002050","University of New England","PRIVATE NONPROFIT","ME",9200,0.06
"328","010395","University of San Diego","PRIVATE NONPROFIT","CA",10000,0.06
"329","002388","University of Minnesota  Duluth","PUBLIC","MN",10100,0.06
"330","001164","Chapman University","PRIVATE NONPROFIT","CA",10500,0.06
"331","002029","Tulane University","PRIVATE NONPROFIT","LA",11000,0.06
"332","003696","University of Vermont and State Agricultural College","PUBLIC","VT",11500,0.06
"333","002836","Binghamton University","PUBLIC","NY",14100,0.06
"334","001434","American University (The)","PRIVATE NONPROFIT","DC",14500,0.06
"335","001536","University of Miami","PRIVATE NONPROFIT","FL",15500,0.06
"336","001312","University of California, Berkeley","PUBLIC","CA",19700,0.06
"337","002103","University of Maryland, College Park","PUBLIC","MD",21200,0.06
"338","001317","University of California, San Diego","PUBLIC","CA",21500,0.06
"339","001825","Purdue University","PUBLIC","IN",22100,0.06
"340","003754","Virginia Polytechnic Institute & State University","PUBLIC","VA",23000,0.06
"341","001313","University of California, Davis","PUBLIC","CA",24400,0.06
"342","001598","University of Georgia","PUBLIC","GA",26500,0.06
"343","003798","University of Washington - Seattle","PUBLIC","WA",35400,0.06
"344","002785","New York University","PRIVATE NONPROFIT","NY",41800,0.06
"345","034194","Northeastern Seminary","PRIVATE NONPROFIT","NY",200,0.07
"346","006483","Watts College of Nursing","PRIVATE NONPROFIT","NC",200,0.07
"347","030612","Midwest College of Acupuncture and Herbal Medicine","PROPRIETARY","WI",200,0.07
"348","006838","Dalhousie University","FOREIGN","FC",200,0.07
