state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ks,2020,55000,58000,146000,84000,30000,46000,49000,39000,44000,48000,48000,43000
ks,2021,48000,51000,43000,49000,57000,51000,53000,54000,50000,53000,58000,56000
ks,2022,48000,52000,49000,54000,51000,55000,59000,47000,54000,54000,52000,58000
ks,2023,53000,52000,52000,56000,53000,56000,50000,53000,56000,39000,48000,46000
ks,2024,55000,44000,49000,55000,49000,40000,47000,50000,44000,47000,47000,48000
ks,2025,53000,47000,52000,49000,46000,50000,46000,46000,,,,
ri,2018,18000,17000,19000,17000,18000,21000,19000,17000,17000,18000,17000,17000
ri,2019,17000,17000,21000,24000,18000,19000,17000,18000,18000,20000,19000,18000
ri,2020,18000,18000,72000,54000,14000,13000,13000,12000,14000,16000,17000,24000
ri,2021,16000,19000,16000,19000,17000,18000,21000,21000,19000,20000,20000,18000
ri,2022,22000,21000,20000,19000,20000,20000,20000,21000,20000,21000,16000,19000
ri,2023,20000,19000,19000,23000,19000,17000,17000,16000,17000,25000,19000,20000
ri,2024,19000,19000,19000,19000,20000,18000,19000,21000,23000,17000,15000,26000
ri,2025,33000,20000,19000,22000,19000,23000,20000,22000,,,,
ny,2018,340000,286000,245000,274000,256000,295000,246000,272000,295000,268000,294000,246000
ny,2019,262000,255000,268000,258000,272000,332000,307000,309000,264000,304000,274000,279000
ny,2020,273000,292000,1057000,764000,258000,231000,251000,232000,221000,249000,227000,251000
ny,2021,244000,308000,262000,232000,243000,244000,281000,274000,260000,265000,308000,253000
ny,2022,290000,302000,274000,334000,296000,266000,233000,291000,295000,242000,246000,265000
ny,2023,307000,268000,271000,242000,277000,266000,282000,253000,277000,318000,302000,287000
ny,2024,279000,288000,286000,255000,272000,274000,235000,277000,313000,230000,264000,265000
ny,2025,244000,281000,247000,288000,279000,279000,305000,349000,,,,
nd,2018,16000,17000,16000,17000,16000,18000,18000,19000,18000,18000,20000,17000
nd,2019,23000,16000,17000,18000,19000,18000,20000,19000,20000,21000,20000,19000
nd,2020,19000,19000,59000,37000,20000,18000,19000,16000,18000,19000,22000,16000
nd,2021,17000,18000,17000,19000,20000,17000,16000,16000,16000,17000,18000,19000
nd,2022,18000,18000,16000,22000,20000,17000,17000,17000,17000,17000,17000,21000
nd,2023,16000,17000,18000,20000,18000,19000,20000,19000,19000,15000,19000,16000
nd,2024,17000,17000,18000,17000,17000,16000,16000,18000,16000,16000,16000,17000
nd,2025,18000,19000,18000,17000,17000,19000,18000,18000,,,,
dc,2018,20000,18000,21000,22000,19000,20000,26000,23000,20000,21000,21000,24000
dc,2019,22000,22000,21000,23000,22000,21000,23000,23000,21000,24000,22000,23000
dc,2020,21000,22000,52000,48000,22000,23000,18000,20000,21000,21000,20000,21000
dc,2021,20000,22000,22000,20000,19000,22000,18000,17000,21000,20000,22000,24000
dc,2022,22000,25000,23000,26000,24000,26000,24000,25000,28000,26000,24000,24000
dc,2023,26000,25000,23000,19000,25000,22000,26000,25000,22000,21000,21000,23000
dc,2024,19000,18000,20000,19000,19000,17000,20000,22000,19000,20000,24000,19000
dc,2025,20000,20000,20000,20000,19000,17000,18000,19000,,,,
ky,2018,75000,75000,75000,82000,74000,77000,73000,83000,82000,92000,84000,94000
ky,2019,81000,85000,83000,90000,69000,71000,78000,72000,81000,70000,81000,73000
ky,2020,89000,77000,186000,189000,67000,66000,54000,77000,83000,102000,103000,88000
ky,2021,87000,80000,83000,96000,83000,95000,99000,103000,102000,100000,95000,97000
ky,2022,93000,86000,97000,99000,92000,87000,80000,99000,89000,78000,87000,93000
ky,2023,97000,88000,89000,80000,94000,83000,77000,78000,83000,74000,77000,67000
ky,2024,74000,71000,66000,72000,78000,67000,77000,64000,70000,85000,67000,72000
ky,2025,73000,77000,64000,73000,72000,69000,69000,69000,,,,
ut,2018,78000,82000,78000,74000,78000,73000,81000,71000,70000,76000,77000,84000
ut,2019,81000,73000,93000,87000,69000,71000,70000,68000,64000,66000,65000,63000
ut,2020,65000,64000,149000,96000,44000,53000,55000,61000,65000,53000,58000,56000
ut,2021,52000,67000,67000,66000,60000,62000,67000,60000,82000,68000,74000,72000
ut,2022,72000,64000,76000,58000,64000,61000,66000,81000,79000,71000,72000,83000
ut,2023,65000,60000,68000,61000,64000,57000,77000,87000,69000,64000,71000,70000
ut,2024,70000,72000,66000,67000,75000,61000,62000,65000,56000,70000,55000,54000
ut,2025,65000,74000,67000,71000,70000,72000,67000,66000,,,,
ok,2018,63000,69000,65000,70000,76000,73000,75000,68000,78000,79000,83000,98000
ok,2019,77000,94000,85000,68000,74000,70000,74000,77000,73000,68000,68000,70000
ok,2020,67000,72000,174000,121000,65000,74000,64000,64000,60000,64000,61000,64000
ok,2021,71000,66000,58000,81000,66000,63000,77000,69000,73000,78000,89000,81000
ok,2022,74000,72000,79000,74000,71000,79000,69000,83000,79000,67000,77000,77000
ok,2023,77000,85000,79000,73000,79000,78000,76000,69000,69000,84000,67000,61000
ok,2024,69000,58000,62000,62000,69000,75000,59000,64000,61000,70000,59000,59000
ok,2025,63000,59000,61000,62000,63000,59000,58000,55000,,,,
sc,2018,95000,75000,63000,103000,87000,79000,98000,85000,96000,98000,102000,110000
sc,2019,113000,120000,113000,99000,82000,89000,92000,94000,129000,98000,90000,92000
sc,2020,113000,96000,175000,170000,74000,87000,90000,87000,87000,91000,93000,86000
sc,2021,86000,92000,95000,104000,91000,89000,93000,85000,94000,104000,104000,116000
sc,2022,100000,97000,114000,106000,102000,103000,95000,109000,99000,93000,97000,109000
sc,2023,114000,100000,112000,107000,109000,92000,94000,101000,108000,94000,77000,86000
sc,2024,98000,95000,85000,86000,88000,91000,107000,95000,82000,100000,94000,98000
sc,2025,90000,91000,83000,88000,88000,86000,86000,82000,,,,
va,2018,132000,120000,122000,141000,126000,124000,134000,153000,127000,114000,138000,126000
va,2019,158000,141000,137000,145000,141000,163000,147000,164000,149000,159000,139000,154000
va,2020,148000,130000,373000,245000,135000,123000,125000,112000,116000,159000,156000,134000
va,2021,125000,135000,145000,148000,152000,159000,137000,153000,149000,131000,133000,171000
va,2022,165000,169000,151000,148000,144000,146000,151000,159000,160000,166000,171000,166000
va,2023,159000,163000,189000,164000,172000,164000,181000,163000,154000,153000,144000,145000
va,2024,168000,134000,145000,127000,145000,122000,151000,131000,141000,143000,135000,130000
va,2025,140000,157000,134000,147000,152000,126000,137000,137000,,,,
ak,2018,18000,19000,20000,20000,18000,21000,18000,20000,19000,19000,21000,19000
ak,2019,20000,20000,20000,21000,20000,20000,21000,20000,22000,23000,22000,21000
ak,2020,21000,22000,38000,31000,14000,16000,19000,12000,12000,9000,15000,18000
ak,2021,17000,17000,18000,18000,20000,19000,18000,20000,20000,17000,19000,18000
ak,2022,22000,21000,19000,19000,18000,19000,21000,26000,21000,21000,21000,20000
ak,2023,19000,17000,20000,21000,16000,15000,18000,18000,19000,17000,20000,17000
ak,2024,17000,18000,18000,15000,17000,17000,17000,15000,15000,9000,14000,21000
ak,2025,17000,20000,15000,16000,18000,19000,17000,15000,,,,
ma,2018,92000,93000,101000,121000,102000,102000,130000,111000,92000,84000,98000,115000
ma,2019,104000,106000,123000,103000,90000,110000,97000,118000,113000,120000,111000,106000
ma,2020,114000,120000,448000,269000,100000,113000,75000,80000,85000,149000,101000,97000
ma,2021,105000,104000,119000,116000,116000,96000,103000,117000,146000,112000,117000,129000
ma,2022,119000,114000,105000,124000,98000,134000,128000,113000,108000,96000,92000,92000
