state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Nevada,NV,2020,True,All students total,All students total,11294,2857,8437,113,24,89,875,290,585,2025,450,1575,3678,891,2787,271,81,190,3239,885,2354,776,162,614,303,69,234,14,5,9,0,0,0,0
Nevada,NV,2021,False,Undergraduate total,Undergraduate,126127,51014,75113,754,275,479,13412,5521,7891,9578,3496,6082,39340,14892,24448,1163,495,668,46181,19907,26274,9695,3905,5790,4846,2004,2842,1158,519,639,0,0,0,0
Nevada,NV,2021,True,All students total,All students total,13233,3610,9623,131,38,93,840,293,547,2428,525,1903,4325,1169,3156,297,83,214,3502,1011,2491,929,173,756,767,315,452,14,3,11,0,0,0,0
Nevada,NV,2022,False,Undergraduate total,Undergraduate,122193,50302,71891,792,309,483,13056,5494,7562,9485,3528,5957,39662,15302,24360,1027,443,584,43051,18837,24214,9740,3993,5747,4334,1938,2396,1046,458,588,145,2,147.0,0
Nevada,NV,2022,True,All students total,All students total,14583,3676,10907,135,37,98,872,257,615,2892,549,2343,4769,1100,3669,302,85,217,3294,860,2434,1002,182,820,1303,603,700,14,3,11,21,1,22.0,0
Nevada,NV,2023,False,Undergraduate total,Undergraduate,122342,51464,70878,715,277,438,13057,5609,7448,9572,3675,5897,41312,16309,25003,981,422,559,41162,18370,22792,10362,4391,5971,4159,1958,2201,1022,453,569,605,0,483...00.3000050,68054
Nevada,NV,2023,True,All students total,All students total,14441,3649,10792,115,39,76,906,280,626,2882,600,2282,4782,1133,3649,301,78,223,3196,814,2382,1105,178,927,1138,524,614,16,3,13,60,0,030022.00010.00.000300020,9758
Nevada,NV,2024,False,Undergraduate total,Undergraduate,127671,53896,73775,788,325,463,13193,5704,7489,9898,3772,6126,44121,17375,26746,1064,469,595,41628,18737,22891,11440,4913,6527,4533,2149,2384,1006,452,554,439,53,331.61630..8030600,106900
Nevada,NV,2024,True,All students total,All students total,14502,3786,10716,127,31,96,950,345,605,2941,695,2246,5019,1258,3761,298,82,216,3068,719,2349,1175,220,955,907,433,474,17,3,14,266,6,000446000..00.000.003.0,11191
New Hampshire,NH,2020,False,Undergraduate total,Undergraduate,175994,66540,109454,916,292,624,3678,1566,2112,23415,6953,16462,16894,6049,10845,512,154,358,103347,40727,62620,3999,1375,2624,21335,8447,12888,1898,977,921,0,0,0,0
New Hampshire,NH,2020,True,All students total,All students total,25028,10397,14631,65,28,37,334,154,180,680,292,388,1229,447,782,16,10,6,19076,7766,11310,977,406,571,2634,1289,1345,17,5,12,0,0,0,0
New Hampshire,NH,2021,False,Undergraduate total,Undergraduate,201892,77426,124466,995,345,650,4140,1875,2265,25002,7744,17258,20144,7307,12837,582,193,389,109985,43452,66533,5013,1785,3228,34290,13872,20418,1741,853,888,0,0,0,0
New Hampshire,NH,2021,True,All students total,All students total,21905,8405,13500,51,17,34,314,125,189,607,250,357,1145,405,740,23,7,16,14248,5140,9108,627,253,374,4873,2203,2670,17,5,12,0,0,0,0
New Hampshire,NH,2022,False,Undergraduate total,Undergraduate,220926,83288,137638,1136,393,743,4635,2103,2532,28589,8849,19740,23634,8821,14813,662,219,443,116024,45474,70550,6290,2201,4089,38045,14360,23685,1911,868,1043,25016,48,25064.0,0
New Hampshire,NH,2022,True,All students total,All students total,21886,8617,13269,113,45,68,404,167,237,619,255,364,1206,429,777,28,10,18,12599,4579,8020,607,244,363,6306,2887,3419,4,1,3,362,0,362.0,0
New Hampshire,NH,2023,False,Undergraduate total,Undergraduate,250004,95867,154137,1411,505,906,5806,2729,3077,38805,12146,26659,31198,11958,19240,842,289,553,134511,53525,80986,8644,3068,5576,26644,10693,15951,2143,954,1189,21634,81,011000.21418342591500530,226997
New Hampshire,NH,2023,True,All students total,All students total,22323,9174,13149,319,142,177,736,315,421,874,328,546,1372,494,878,65,27,38,15179,6116,9063,522,191,331,3243,1557,1686,13,4,9,265,0,0000004828091980000,22058
New Hampshire,NH,2024,False,Undergraduate total,Undergraduate,245880,94179,151701,1403,493,910,5962,2786,3176,39881,12286,27595,32874,12903,19971,839,292,547,131786,52652,79134,9501,3414,6087,21373,8366,13007,2261,987,1274,10924,2206,0121..1284214456.00470,226933
New Hampshire,NH,2024,True,All students total,All students total,25023,10193,14830,362,156,206,955,402,553,1048,429,619,2240,897,1343,82,32,50,17699,7075,10624,568,215,353,2048,981,1067,21,6,15,756,0,00000328341415791060000,24267
New Jersey,NJ,2020,False,Undergraduate total,Undergraduate,240969,114292,126677,406,193,213,27463,13787,13676,28984,11415,17569,48257,19454,28803,458,221,237,103980,53861,50119,6451,2980,3471,14839,6822,8017,10131,5559,4572,0,0,0,0
New Jersey,NJ,2020,True,All students total,All students total,229887,97350,132537,616,278,338,14714,7043,7671,38000,13485,24515,56959,22784,34175,544,244,300,91838,41184,50654,5577,2364,3213,16307,7460,8847,5332,2508,2824,0,0,0,0
New Jersey,NJ,2021,False,Undergraduate total,Undergraduate,237975,111465,126510,394,179,215,28078,14012,14066,29023,11288,17735,49496,19340,30156,374,179,195,101253,52032,49221,6724,3057,3667,13162,6018,7144,9471,5360,4111,0,0,0,0
New Jersey,NJ,2021,True,All students total,All students total,213293,86341,126952,556,251,305,13870,6441,7429,35511,11718,23793,52969,20117,32852,494,204,290,85226,36863,48363,5889,2321,3568,14196,6426,7770,4582,2000,2582,0,0,0,0
New Jersey,NJ,2022,False,Undergraduate total,Undergraduate,227010,106951,120059,356,156,200,28004,14063,13941,27047,10636,16411,48247,19074,29173,328,164,164,95428,49376,46052,6611,3042,3569,12828,5822,7006,8161,4618,3543,616,10,626.0,0
New Jersey,NJ,2022,True,All students total,All students total,205804,84288,121516,498,229,269,13545,6347,7198,35020,11837,23183,53849,20978,32871,415,168,247,75918,33376,42542,5594,2243,3351,17068,7522,9546,3897,1588,2309,4088,79,4167.0,0
New Jersey,NJ,2023,False,Undergraduate total,Undergraduate,225326,106321,119005,360,154,206,28423,14328,14095,26890,10714,16176,50220,20095,30125,280,149,131,92780,47862,44918,6619,3046,3573,11484,5245,6239,8270,4728,3542,1652,9,01430000.000132005004200077.38.01075040700391000.00000.000155000000000000,207000
New Jersey,NJ,2023,True,All students total,All students total,208876,87819,121057,457,202,255,14145,6905,7240,35939,12534,23405,57587,23209,34378,373,148,225,74117,33459,40658,6000,2498,3502,15786,7001,8785,4472,1863,2609,4837,157,00093850403350003881370780049800320.09350001130060000591022809851000000000000000000000000000000000000006.0000,202960
New Jersey,NJ,2024,False,Undergraduate total,Undergraduate,227799,108172,119627,357,171,186,28426,14425,14001,27411,10884,16527,52361,21235,31126,253,130,123,90993,47578,43415,6503,3038,3465,11953,5552,6401,9542,5159,4383,2445,9,025200000.0.068000.023400558926101808019150029180000000039000170000000000000,212906
New Jersey,NJ,2024,True,All students total,All students total,219764,92944,126820,498,219,279,15304,7501,7803,38534,13434,25100,62851,25558,37293,367,150,217,74987,33842,41145,6961,3001,3960,15338,7174,8164,4924,2065,2859,4868,158,01260109260103590000199060004290050000146400.14800300001340215.803100000.000000000000020000000.0000000000.00000,211533
New Mexico,NM,2020,False,Undergraduate total,Undergraduate,49865,21261,28604,4964,1948,3016,1116,490,626,1443,837,606,23618,9421,14197,116,62,54,13669,6039,7630,1354,607,747,2178,1057,1121,1407,800,607,0,0,0,0
New Mexico,NM,2020,True,All students total,All students total,97033,37734,59299,9895,3602,6293,1561,643,918,2810,1263,1547,47582,17736,29846,210,86,124,27240,11091,16149,2100,848,1252,4794,2056,2738,841,409,432,0,0,0,0
New Mexico,NM,2021,False,Undergraduate total,Undergraduate,47343,19583,27760,4420,1540,2880,1098,472,626,1411,813,598,23267,8953,14314,113,61,52,12558,5588,6970,1339,587,752,1990,928,1062,1147,641,506,0,0,0,0
New Mexico,NM,2021,True,All students total,All students total,84352,30484,53868,8238,2581,5657,1429,575,854,2346,989,1357,42139,14655,27484,175,71,104,23454,9081,14373,2111,830,1281,3491,1308,2183,969,394,575,0,0,0,0
