"unitid","institution name","year","HD2024.FIPS state code","HD2024.Degree-granting status","HD2024.Institution size category","HD2024.State abbreviation","HD2024.FIPS state code","HD2024.Bureau of Economic Analysis (BEA) regions","HD2024.Sector of institution","HD2024.Degree of urbanization (Urban-centric locale)","HD2024.Institutional category","HD2024.Carnegie Classification 2021: Basic","DRVC2024.Certificates of less than 1 year","DRVC2024.Certificate of less than 12 weeks","DRVC2024.Certificate of at least 12 weeks, but less than 1 year","DRVC2024.Certificates of 1 but less than 2 years","DRVC2024.Certificates of 2 but less than 4 years","DRVC2024.Number of students receiving certificates of less than 12 weeks","DRVC2024.Number of students receiving certificates of at least 12 weeks, but less than 1 year","DRVC2024.Number of students receiving a certificate of 1 but less than 4 years"
"406361","Delaware Chenango Madison Otsego BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","22","0","0","0","22"
"406422","Central Susquehanna Intermediate Unit LPN Career","2024","Pennsylvania","Nondegree-granting, primarily postsecondary","Under 1,000","Pennsylvania","Pennsylvania","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","39","0","0","0","39"
"406486","Myotherapy Massage College","2024","Utah","Nondegree-granting, primarily postsecondary","Under 1,000","Utah","Utah","Rocky Mountains (CO, ID, MT, UT, WY)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","70","0","70","0","0","0","70","0"
"407090","G Skin & Beauty Institute","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","236","0","236","10","0","0","236","10"
"407142","Cosmetology Training Center","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","7","0","7","58","0","0","7","58"
"407151","Stage One-The Hair School","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","34","0","0","0","34"
"407179","Empire Beauty School-Malden","2024","Massachusetts","Nondegree-granting, primarily postsecondary","Under 1,000","Massachusetts","Massachusetts","New England (CT, ME, MA, NH, RI, VT)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","64","0","0","0","64"
"407355","Stephanie Moss Academy","2024","Nebraska","Nondegree-granting, primarily postsecondary","Under 1,000","Nebraska","Nebraska","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","65","0","65","0","108","0","65","108"
"407434","Orlo School of Hair Design and Cosmetology","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","54","0","0","0","54"
"407461","Eastland-Fairfield Career and Technical Schools","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","28","0","28","28","0","0","28","28"
"407470","Empire Beauty School-Cincinnati","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","77","0","0","0","77"
"407489","Mahoning County Career and Technical Center","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","126","109","17","0","0","109","17","0"
"407513","Pickaway Ross Joint Vocational School District","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","98","59","39","48","0","59","39","48"
"407522","Pioneer Career and Technology Center","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Town: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","106","95","11","0","0","95","11","0"
"407568","Raphael's School of Beauty Culture Inc-Boardman","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","53","0","53","22","23","0","53","45"
"407577","Scioto County Career Technical Center","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Rural: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","50","0","50","135","0","0","50","135"
"407683","UCAS University of Cosmetology Arts & Sciences-Harlingen","2024","Texas","Nondegree-granting, primarily postsecondary","Under 1,000","Texas","Texas","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","97","0","97","36","0","0","97","36"
"407708","Paul Mitchell the School-Federal Way","2024","Washington","Nondegree-granting, primarily postsecondary","Under 1,000","Washington","Washington","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","5","0","5","88","0","0","5","88"
"407735","Empire Beauty School-Green Bay","2024","Wisconsin","Nondegree-granting, primarily postsecondary","Under 1,000","Wisconsin","Wisconsin","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","50","0","0","0","50"
"407832","Warren County Career Center","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","167","117","50","57","0","117","50","57"
"408066","Paul Mitchell the School-Wichita","2024","Kansas","Nondegree-granting, primarily postsecondary","Under 1,000","Kansas","Kansas","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","103","0","0","0","101"
"408163","Pinnacle Institute of Cosmetology","2024","North Carolina","Nondegree-granting, primarily postsecondary","Under 1,000","North Carolina","North Carolina","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","39","0","0","0","39"
"408862","Georgia Institute of Cosmetology","2024","Georgia","Nondegree-granting, primarily postsecondary","Under 1,000","Georgia","Georgia","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","3","0","3","111","0","0","3","111"
"409032","Nouvelle Institute","2024","Florida","Nondegree-granting, primarily postsecondary","Under 1,000","Florida","Florida","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","268","0","0","0","268"
"409120","Franklin Technology Center Adult Education","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","14","0","14","29","0","0","14","29"
"409537","Pike County Joint Vocational School District","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Rural: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","103","103","0","0","0","103","0","0"
"409591","Lorain County Joint Vocational School District","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","95","55","40","10","0","55","40","10"
"410797","Ohio Media School-Valley View","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","43","0","43","119","0","0","43","119"
"410964","EINE Inc","2024","Massachusetts","Nondegree-granting, primarily postsecondary","Under 1,000","Massachusetts","Massachusetts","New England (CT, ME, MA, NH, RI, VT)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","19","0","19","22","0","0","19","22"
"411684","Marian Health Careers Center-Los Angeles Campus","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","47","0","0","0","47"
"411754","Cleveland Clinic Health System-School of Diagnostic Imaging","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Private not-for-profit, 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","0","16","0","0","16"
"412535","Shawsheen Valley School of Practical Nursing","2024","Massachusetts","Nondegree-granting, primarily postsecondary","Under 1,000","Massachusetts","Massachusetts","New England (CT, ME, MA, NH, RI, VT)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","25","0","0","0","25"
"412544","Shear Ego International School of Hair Design","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","101","53","48","61","0","53","48","61"
"413176","Fayette Institute of Technology","2024","West Virginia","Nondegree-granting, primarily postsecondary","Under 1,000","West Virginia","West Virginia","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Public, less-than 2-year","Suburb: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","31","0","0","0","31"
"413820","Yukon Beauty College Inc","2024","Oklahoma","Nondegree-granting, primarily postsecondary","Under 1,000","Oklahoma","Oklahoma","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","10","0","10","11","0","0","10","10"
"413893","United Education Institute-Morrow","2024","Georgia","Nondegree-granting, primarily postsecondary","1,000 - 4,999","Georgia","Georgia","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","765","0","0","0","765"
"414063","Artistic Academy of Hair Design","2024","New Jersey","Nondegree-granting, primarily postsecondary","Under 1,000","New Jersey","New Jersey","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","30","0","30","59","0","0","30","59"
"414124","Motoring Technical Training Institute","2024","Massachusetts","Nondegree-granting, primarily postsecondary","Under 1,000","Massachusetts","Massachusetts","New England (CT, ME, MA, NH, RI, VT)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","289","0","0","0","289"
"414489","Baldwin Beauty School-North Austin","2024","Texas","Nondegree-granting, primarily postsecondary","Under 1,000","Texas","Texas","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","53","0","53","30","0","0","53","30"
"414540","Jean Madeline Aveda Institute","2024","Pennsylvania","Nondegree-granting, primarily postsecondary","Under 1,000","Pennsylvania","Pennsylvania","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","105","0","105","114","0","0","105","114"
"414869","Tricoci University of Beauty Culture-Indianapolis","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","256","0","256","31","0","0","256","31"
"415039","Empire Beauty School-Hanover","2024","Pennsylvania","Nondegree-granting, primarily postsecondary","Under 1,000","Pennsylvania","Pennsylvania","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","32","0","0","0","32"
"415057","Industrial Management Training Institute","2024","Connecticut","Nondegree-granting, primarily postsecondary","Under 1,000","Connecticut","Connecticut","New England (CT, ME, MA, NH, RI, VT)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","31","0","0","0","31"
"415987","Allen School-Jamaica","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","133","0","0","0","133"
"417008","Paul Mitchell the School-Huntsville","2024","Alabama","Nondegree-granting, primarily postsecondary","Under 1,000","Alabama","Alabama","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","1","0","1","52","0","0","1","52"
"417062","Estes Institute of Cosmetology Arts and Science","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","26","0","26","27","0","0","26","27"
"417105","Baldwin Park Adult & Community Education","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","65","16","49","192","0","16","49","192"
"417123","Ventura Adult and Continuing Education","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Public, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","21","0","21","41","0","0","21","41"
"417442","Career Center of Southern Illinois","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Rural: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","2","2","0","54","0","2","0","54"
"417503","Crave Beauty Academy","2024","Kansas","Nondegree-granting, primarily postsecondary","Under 1,000","Kansas","Kansas","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","129","0","129","143","0","0","84","112"
"417600","Hastings Beauty School","2024","Minnesota","Nondegree-granting, primarily postsecondary","Under 1,000","Minnesota","Minnesota","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","Town: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","10","0","0","0","10"
"417628","Kirksville Area Technical Center","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","18","0","0","0","18"
"417637","Southern Missouri Technical Institute","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","54","0","0","0","54"
"417646","Saline County Career Center","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","20","0","0","0","20"
"417655","Warrensburg Area Career Center","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","23","0","0","0","23"
"417682","Cass Career Center","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","15","0","0","0","15"
"417716","Applied Technology Services","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","85","0","0","0","85"
"417725","Central College of Cosmetology","2024","Missouri","Nondegree-granting, primarily postsecondary","Under 1,000","Missouri","Missouri","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","8","0","8","14","0","0","8","14"
"417831","Union County Vocational Technical School","2024","New Jersey","Nondegree-granting, primarily postsecondary","Under 1,000","New Jersey","New Jersey","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","106","0","0","0","106"
"417840","Prism Career Institute-Philadelphia","2024","Pennsylvania","Nondegree-granting, primarily postsecondary","Under 1,000","Pennsylvania","Pennsylvania","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","10","0","10","144","0","0","10","144"
"417868","Clinton Essex Warren Washington BOCES","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","28","0","0","0","28"
"417886","Jefferson Lewis BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","22","0","0","0","22"
"417910","Veeb Nassau County School of Practical Nursing","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","407","0","0","0","407"
"417983","Cattaraugus Allegany BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","17","0","0","0","17"
"417992","Orange Ulster BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","51","0","0","0","51"
"418001","Wayne Finger Lakes BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","30","0","0","0","30"
"418010","Broome Delaware Tioga BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","61","0","0","0","61"
"418029","Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","31","0","0","0","31"
"418038","Albany BOCES-Adult Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","128","0","0","0","128"
"418065","Eastern Suffolk BOCES","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","175","0","0","0","175"
"418083","Rockland County BOCES-Practical Nursing Program","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","20","0","0","0","20"
"418171","Charles Stuart School of Diamond Setting","2024","New York","Nondegree-granting, primarily postsecondary","Under 1,000","New York","New York","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","43","0","43","14","0","0","43","14"
"418199","Penta County Joint Vocational School","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,
"418205","Career and Technology Education Centers of Licking County","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Suburb: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","239","215","24","70","0","215","24","70"
"418223","Northern Career Institute","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","106","0","0","0","106"
"418250","Washington County Career Center-Adult Technical Training","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","183","141","42","22","0","141","42","22"
"418269","Ohio Media School-Cincinnati","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","19","0","19","98","0","0","19","98"
"418278","Vantage Career Center","2024","Ohio","Nondegree-granting, primarily postsecondary","Under 1,000","Ohio","Ohio","Great Lakes (IL, IN, MI, OH, WI)","Public, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","189","151","38","21","0","151","30","21"
