Federal Student Loan Portfolio by Borrower Location and Debt Size,,,,,,,,,,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,,,,,,,,,,
Data Source: Enterprise Data Warehouse,,,,,,,,,,,,,,,,,,,
"Data as of June 30, 2025",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,<5K,,5K to 10K,,10K to 20K,,20K to 40K,,40K to 60K,,60K to 80K,,80K to 100K,,100K to 200K,,200K+,,
Location,Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),
South Dakota,$0.05 ,17.1,$0.15 ,20.4,$0.36 ,25.1,$0.76 ,27.0,$0.52 ,10.6,$0.45 ,6.5,$0.29 ,3.3,$0.67 ,4.9,$0.47 ,1.6,
Tennessee,$0.35 ,126.2,$1.04 ,143.9,$2.58 ,177.6,$5.47 ,191.7,$4.45 ,90.5,$3.82 ,55.4,$2.72 ,30.5,$7.10 ,51.4,$6.27 ,21.5,
Texas,$1.66 ,581.4,$5.06 ,697.2,$11.98 ,831.8,$22.90 ,806.7,$17.85 ,363.2,$15.11 ,219.7,$10.54 ,118.3,$27.80 ,202.0,$21.84 ,74.9,
Utah,$0.16 ,55.9,$0.40 ,56.1,$0.91 ,63.2,$1.80 ,63.2,$1.46 ,29.8,$1.16 ,16.9,$0.72 ,8.2,$1.88 ,13.6,$2.40 ,7.6,
Vermont,$0.03 ,10.1,$0.08 ,11.4,$0.23 ,15.7,$0.51 ,18.3,$0.34 ,6.9,$0.27 ,4.0,$0.21 ,2.4,$0.61 ,4.4,$0.63 ,2.1,
Virginia,$0.37 ,132.9,$1.18 ,164.9,$3.12 ,214.0,$7.07 ,248.6,$5.55 ,113.0,$4.82 ,70.1,$3.49 ,39.2,$10.12 ,73.0,$9.21 ,30.9,
Washington,$0.33 ,118.2,$0.94 ,129.4,$2.37 ,163.5,$4.72 ,166.5,$3.54 ,72.3,$2.88 ,41.8,$2.08 ,23.3,$6.06 ,43.7,$6.51 ,21.3,
West Virginia,$0.10 ,36.6,$0.28 ,38.7,$0.66 ,45.8,$1.39 ,48.8,$1.10 ,22.4,$0.92 ,13.3,$0.64 ,7.2,$1.48 ,10.9,$1.02 ,3.6,
Wisconsin,$0.31 ,110.1,$0.84 ,117.8,$2.14 ,147.0,$4.72 ,167.1,$3.25 ,66.3,$2.70 ,39.3,$1.74 ,19.6,$4.26 ,31.0,$3.81 ,12.8,
Wyoming,$0.03 ,10.3,$0.07 ,10.0,$0.16 ,10.9,$0.31 ,11.0,$0.24 ,4.9,$0.19 ,2.8,$0.14 ,1.5,$0.34 ,2.5,$0.25 ,0.9,
Other,$0.03 ,11.8,$0.09 ,12.9,$0.25 ,17.3,$0.61 ,21.2,$0.51 ,10.3,$0.45 ,6.5,$0.36 ,4.0,$1.22 ,8.7,$1.36 ,4.4,
Not Reported,$1.37 ,650.9,$2.41 ,329.5,$5.48 ,379.4,$10.14 ,355.8,$7.57 ,155.1,$5.62 ,81.4,$4.24 ,47.5,$10.22 ,75.9,$7.50 ,24.5,
