Nonpayment Rates by Institution,,,,,
,,,,,
OPE ID,School Name,School Type,State,Total Borrowers Evaluated,Nonpayment Rate
034664,Seattle School of Theology and Psychology (The),"PRIVATE, NONPROFIT",WA,300,4%
030672,University of Sydney,FOREIGN,FC,300,4%
006225,Trinity College of Nursing & Health Sciences,"PRIVATE, NONPROFIT",IL,400,4%
020758,Southern California Institute of Architecture (The),"PRIVATE, NONPROFIT",CA,400,4%
008587,University of Durham,FOREIGN,FC,400,4%
001174,Scripps College,"PRIVATE, NONPROFIT",CA,400,4%
030519,Adler Graduate School,"PRIVATE, NONPROFIT",MN,400,4%
003370,Swarthmore College,"PRIVATE, NONPROFIT",PA,500,4%
036914,Ave Maria School of Law,"PRIVATE, NONPROFIT",FL,600,4%
002039,Colby College,"PRIVATE, NONPROFIT",ME,600,4%
032253,American University of Health Sciences,PROPRIETARY,CA,800,4%
021633,Universidad Central del Caribe,"PRIVATE, NONPROFIT",PR,800,4%
002340,Carleton College,"PRIVATE, NONPROFIT",MN,800,4%
003065,Kenyon College,"PRIVATE, NONPROFIT",OH,900,4%
007026,Icahn School of Medicine at Mount Sinai,"PRIVATE, NONPROFIT",NY,900,4%
006677,McGill University,FOREIGN,FC,900,4%
002224,Wellesley College,"PRIVATE, NONPROFIT",MA,1000,4%
022285,Life Chiropractic College West,"PRIVATE, NONPROFIT",CA,1100,4%
001732,National University of Health Sciences (The),"PRIVATE, NONPROFIT",IL,1100,4%
010188,"University College Dublin, National University of Ireland, Dublin",FOREIGN,FC,1200,4%
001200,Fuller Theological Seminary,"PRIVATE, NONPROFIT",CA,1200,4%
042509,Inter American University of Puerto Rico - School of Law,"PRIVATE, NONPROFIT",PR,1300,4%
002895,Vassar College,"PRIVATE, NONPROFIT",NY,1500,4%
021206,Saybrook University,"PRIVATE, NONPROFIT",CA,1500,4%
004977,South Texas College of Law Houston,"PRIVATE, NONPROFIT",TX,2000,4%
003691,Middlebury College,"PRIVATE, NONPROFIT",VT,2000,4%
010365,Charles R. Drew University of Medicine and Science,"PRIVATE, NONPROFIT",CA,2200,4%
001229,Southern California University of Health Sciences,"PRIVATE, NONPROFIT",CA,2200,4%
002209,Smith College,"PRIVATE, NONPROFIT",MA,2200,4%
002839,State University of New York Downstate Health Sciences University,PUBLIC,NY,2500,4%
020681,Adler University,"PRIVATE, NONPROFIT",IL,2500,4%
003744,University of Richmond,"PRIVATE, NONPROFIT",VA,2800,4%
002573,Dartmouth College,"PRIVATE, NONPROFIT",NH,2800,4%
024824,Ponce Health Sciences University,PROPRIETARY,PR,3000,4%
003401,Brown University,"PRIVATE, NONPROFIT",RI,3500,4%
004952,University of Texas Medical Branch at Galveston,PUBLIC,TX,3500,4%
003197,Lewis & Clark College,"PRIVATE, NONPROFIT",OR,3700,4%
002233,Worcester Polytechnic Institute,"PRIVATE, NONPROFIT",MA,3900,4%
002014,Louisiana State University Health Sciences Center,PUBLIC,LA,3900,4%
003979,"Teachers College, Columbia University","PRIVATE, NONPROFIT",NY,4300,4%
004951,University of Texas Health Science Center at Houston,PUBLIC,TX,4400,4%
001348,Colorado School of Mines,PUBLIC,CO,4700,4%
002803,Rensselaer Polytechnic Institute,"PRIVATE, NONPROFIT",NY,4800,4%
003705,College of William & Mary,PUBLIC,VA,5700,4%
003212,Pacific University,"PRIVATE, NONPROFIT",OR,6100,4%
002978,Wake Forest University,"PRIVATE, NONPROFIT",NC,6300,4%
002520,Washington University in St. Louis,"PRIVATE, NONPROFIT",MO,6700,4%
003388,Villanova University,"PRIVATE, NONPROFIT",PA,7300,4%
002542,Creighton University,"PRIVATE, NONPROFIT",NE,9800,4%
002128,Boston College,"PRIVATE, NONPROFIT",MA,9900,4%
001569,Georgia Institute of Technology,PUBLIC,GA,10500,4%
002711,Cornell University,"PRIVATE, NONPROFIT",NY,10800,4%
003745,University of Virginia,PUBLIC,VA,12400,4%
010149,Pepperdine University,"PRIVATE, NONPROFIT",CA,14500,4%
002077,Johns Hopkins University,"PRIVATE, NONPROFIT",MD,16700,4%
002974,University of North Carolina - Chapel Hill,PUBLIC,NC,17500,4%
002707,Columbia University in the City of New York,"PRIVATE, NONPROFIT",NY,19100,4%
003895,University of Wisconsin - Madison,PUBLIC,WI,21100,4%
002130,Boston University,"PRIVATE, NONPROFIT",MA,22100,4%
001444,George Washington University,"PRIVATE, NONPROFIT",DC,23300,4%
002325,University of Michigan,PUBLIC,MI,24800,4%
001315,"University of California, Los Angeles",PUBLIC,CA,27500,4%
001328,University of Southern California,"PRIVATE, NONPROFIT",CA,38600,4%
011780,Brunel University London,FOREIGN,FC,200,5%
030982,Yo San University of Traditional Chinese Medicine,"PRIVATE, NONPROFIT",CA,200,5%
009808,"University of Strathclyde, Glasgow",FOREIGN,FC,200,5%
001354,Iliff School of Theology,"PRIVATE, NONPROFIT",CO,200,5%
004054,Hebrew Union College - Jewish Institute of Religion,"PRIVATE, NONPROFIT",NY,200,5%
031564,AOMA Graduate School of Integrative Medicine,PROPRIETARY,TX,200,5%
009086,University of London - Royal Holloway,FOREIGN,FC,200,5%
006699,University of Sussex,FOREIGN,FC,200,5%
002248,Cranbrook Academy of Art,"PRIVATE, NONPROFIT",MI,200,5%
007178,Western Seminary,"PRIVATE, NONPROFIT",OR,300,5%
009368,University of Aberdeen,FOREIGN,FC,300,5%
033554,Richmont Graduate University,"PRIVATE, NONPROFIT",TN,300,5%
008377,Universiteit van Amsterdam,FOREIGN,FC,400,5%
038724,Divine Mercy University,"PRIVATE, NONPROFIT",VA,400,5%
001170,Claremont McKenna College,"PRIVATE, NONPROFIT",CA,400,5%
002627,Princeton University,"PRIVATE, NONPROFIT",NJ,400,5%
003697,Vermont College of Fine Arts,"PRIVATE, NONPROFIT",VT,500,5%
001172,Pitzer College,"PRIVATE, NONPROFIT",CA,500,5%
002115,Amherst College,"PRIVATE, NONPROFIT",MA,500,5%
002229,Williams College,"PRIVATE, NONPROFIT",MA,600,5%
002038,Bowdoin College,"PRIVATE, NONPROFIT",ME,600,5%
006639,Bellin College,"PRIVATE, NONPROFIT",WI,700,5%
031773,San Juan Bautista School of  Medicine,"PRIVATE, NONPROFIT",PR,700,5%
037803,Saba University School of Medicine,FOREIGN,FC,700,5%
009085,King's College London,FOREIGN,FC,800,5%
001347,Colorado College,"PRIVATE, NONPROFIT",CO,800,5%
001868,Grinnell College,"PRIVATE, NONPROFIT",IA,800,5%
008461,University of Saint Andrews,FOREIGN,FC,800,5%
031733,Atlanta Law Center,"PRIVATE, NONPROFIT",GA,900,5%
003217,Reed College,"PRIVATE, NONPROFIT",OR,900,5%
031070,Sonoran University of Health Sciences,"PRIVATE, NONPROFIT",AZ,1000,5%
002701,Colgate University,"PRIVATE, NONPROFIT",NY,1000,5%
020907,Cleveland University-Kansas City,"PRIVATE, NONPROFIT",KS,1100,5%
003284,Lafayette College,"PRIVATE, NONPROFIT",PA,1200,5%
002504,University of Health Sciences and Pharmacy in St. Louis,"PRIVATE, NONPROFIT",MO,1300,5%
003237,Bryn Mawr College,"PRIVATE, NONPROFIT",PA,1300,5%
002708,Barnard College,"PRIVATE, NONPROFIT",NY,1300,5%
001249,Occidental College,"PRIVATE, NONPROFIT",CA,1400,5%
020961,Fielding Graduate University,"PRIVATE, NONPROFIT",CA,1500,5%
